physical_acquisition_id,platform,acquired_utc,acquisition_local_date,relative_orbit,normalized_datatake_id,processing_baseline,generation_time,union_city_coverage_fraction,item_count,item_ids,mgrs_tiles
sentinel-2a|2021-04-03T18:29:11.024000Z|R27|GS2A_20210403T182911_030197,sentinel-2a,2021-04-03T18:29:11.024000Z,2021-04-03,27,GS2A_20210403T182911_030197,02.12,2021-04-04T16:27:53.783000Z,0.9999999999999992,2,S2A_MSIL2A_20210403T182911_R027_T11SLT_20210404T162753|S2A_MSIL2A_20210403T182911_R027_T11SLU_20210404T160402,11SLT|11SLU
sentinel-2a|2021-04-13T18:29:11.024000Z|R27|GS2A_20210413T182911_030340,sentinel-2a,2021-04-13T18:29:11.024000Z,2021-04-13,27,GS2A_20210413T182911_030340,02.12,2021-04-14T15:16:21.232000Z,0.9999999999999992,2,S2A_MSIL2A_20210413T182911_R027_T11SLT_20210414T151621|S2A_MSIL2A_20210413T182911_R027_T11SLU_20210414T151259,11SLT|11SLU
sentinel-2a|2021-04-23T18:29:11.024000Z|R27|GS2A_20210423T182911_030483,sentinel-2a,2021-04-23T18:29:11.024000Z,2021-04-23,27,GS2A_20210423T182911_030483,02.12,2021-04-25T12:37:21.729000Z,0.9999999999999992,2,S2A_MSIL2A_20210423T182911_R027_T11SLT_20210425T123721|S2A_MSIL2A_20210423T182911_R027_T11SLU_20210425T123028,11SLT|11SLU
sentinel-2a|2021-05-03T18:29:21.024000Z|R27|GS2A_20210503T182921_030626,sentinel-2a,2021-05-03T18:29:21.024000Z,2021-05-03,27,GS2A_20210503T182921_030626,02.12,2021-06-11T00:10:01.764000Z,0.9999999999999992,2,S2A_MSIL2A_20210503T182921_R027_T11SLT_20210611T001001|S2A_MSIL2A_20210503T182921_R027_T11SLU_20210504T170422,11SLT|11SLU
sentinel-2a|2021-05-13T18:29:21.024000Z|R27|GS2A_20210513T182921_030769,sentinel-2a,2021-05-13T18:29:21.024000Z,2021-05-13,27,GS2A_20210513T182921_030769,02.12,2021-05-15T23:18:45.718000Z,0.9999999999999992,2,S2A_MSIL2A_20210513T182921_R027_T11SLT_20210515T231845|S2A_MSIL2A_20210513T182921_R027_T11SLU_20210515T223530,11SLT|11SLU
sentinel-2a|2021-05-23T18:29:21.024000Z|R27|GS2A_20210523T182921_030912,sentinel-2a,2021-05-23T18:29:21.024000Z,2021-05-23,27,GS2A_20210523T182921_030912,03.00,2021-06-06T08:29:51.569494Z,0.9999999999999992,2,S2A_MSIL2A_20210523T182921_R027_T11SLT_20210605T220201|S2A_MSIL2A_20210523T182921_R027_T11SLU_20210606T082951,11SLT|11SLU
sentinel-2a|2021-06-02T18:29:21.024000Z|R27|GS2A_20210602T182921_031055,sentinel-2a,2021-06-02T18:29:21.024000Z,2021-06-02,27,GS2A_20210602T182921_031055,02.12,2021-06-03T13:46:02.798000Z,0.9999999999999992,2,S2A_MSIL2A_20210602T182921_R027_T11SLT_20210603T134602|S2A_MSIL2A_20210602T182921_R027_T11SLU_20210603T132828,11SLT|11SLU
sentinel-2a|2021-06-12T18:29:21.024000Z|R27|GS2A_20210612T182921_031198,sentinel-2a,2021-06-12T18:29:21.024000Z,2021-06-12,27,GS2A_20210612T182921_031198,02.12,2021-06-14T19:59:02.628000Z,0.9999999999999992,2,S2A_MSIL2A_20210612T182921_R027_T11SLT_20210614T185217|S2A_MSIL2A_20210612T182921_R027_T11SLU_20210614T195902,11SLT|11SLU
sentinel-2a|2021-06-22T18:29:21.024000Z|R27|GS2A_20210622T182921_031341,sentinel-2a,2021-06-22T18:29:21.024000Z,2021-06-22,27,GS2A_20210622T182921_031341,03.00,2021-06-25T04:27:00.960794Z,0.9999999999999992,2,S2A_MSIL2A_20210622T182921_R027_T11SLT_20210625T042700|S2A_MSIL2A_20210622T182921_R027_T11SLU_20210625T035037,11SLT|11SLU
sentinel-2a|2021-07-02T18:29:21.024000Z|R27|GS2A_20210702T182921_031484,sentinel-2a,2021-07-02T18:29:21.024000Z,2021-07-02,27,GS2A_20210702T182921_031484,03.00,2021-07-03T10:25:38.278209Z,0.9999999999999992,2,S2A_MSIL2A_20210702T182921_R027_T11SLT_20210703T094324|S2A_MSIL2A_20210702T182921_R027_T11SLU_20210703T102538,11SLT|11SLU
